zipcode,median_income,total_pop,num_male,num_female,num_white,num_black,num_native,num_asian,num_pacific,num_other,num_mixed,num_hispanic,top_5_percent
00786,38798,292,187,105,292,0,0,0,0,0,0,292,1
00791,21833,47675,22662,25013,21913,8470,111,369,0,15989,823,47085,1
00794,19024,28088,13828,14260,21611,1444,17,0,0,1211,3805,28054,1
00795,20765,43475,20610,22865,17951,4003,35,106,0,3837,17543,43406,1
00901,26204,7438,3994,3444,5052,846,0,0,7,549,984,7048,1
00906,109063,178,102,76,178,0,0,0,0,0,0,178,1
00907,38798,15641,7612,8029,10336,1297,49,45,0,2702,1212,14793,1
00909,21238,4855,2335,2520,2096,787,27,13,0,1646,286,4765,1
00911,32290,7157,3478,3679,4440,623,24,147,0,1239,684,6206,1
00912,27623,5868,2628,3240,2394,1047,11,54,14,2039,309,5769,1
00913,7428,7225,3209,4016,2672,345,20,49,0,4061,78,6959,1
00915,13125,24079,11475,12604,5839,3506,148,66,0,13698,822,23768,1
00917,15904,17836,8305,9531,10782,2002,9,47,34,4108,854,17644,1
00918,29521,14902,6584,8318,9958,964,24,33,16,2032,1875,14822,1
00920,26153,16157,7423,8734,8465,3260,26,0,0,2407,1999,16028,1
00921,19158,30663,13481,17182,14584,6208,52,10,0,4327,5482,30439,1
00923,16052,23811,11216,12595,13382,3322,104,21,0,5801,1181,23697,1
00924,19023,46690,20672,26018,27093,8800,141,36,0,7713,2907,46050,1
00925,10928,6365,3233,3132,3604,1402,11,64,0,1068,216,6163,1
00926,35681,89327,40042,49285,60872,9392,57,136,0,7067,11803,88040,1
00927,36994,13490,6214,7276,9629,969,29,138,0,1068,1657,12877,1
00949,27575,71371,33490,37881,48158,7420,5,0,0,8515,7273,70352,1
00952,16196,7324,3230,4094,4051,1677,0,0,0,939,657,7322,1
00953,27688,70997,33947,37050,56573,5162,99,42,5,4640,4476,70044,1
00956,23859,60554,28141,32413,37993,4324,62,12,0,7683,10480,59854,1
00957,27115,37977,17303,20674,24474,2583,89,139,0,4153,6539,37630,1
00959,30307,46116,20969,25147,28976,4622,26,104,0,4642,7746,45277,1
00961,29811,28638,14113,14525,17878,2700,0,111,0,2617,5332,28436,1
00962,16053,18274,8618,9656,11629,2360,0,0,0,1919,2366,17999,1
00965,14279,6901,3320,3581,4198,790,13,19,0,1107,774,6882,1
00966,48174,15139,7188,7951,10327,752,0,35,0,1770,2255,14925,1
00968,49500,3603,1491,2112,2673,105,0,0,0,373,452,3551,1
00969,47489,40402,18268,22134,27693,2539,138,10,0,4977,5045,39404,1
00971,24972,25443,12803,12640,16121,1943,18,0,0,4186,3175,25350,1
00976,31729,57297,26694,30603,41400,5751,78,105,0,4049,5914,56723,1
00979,33087,17022,8271,8751,9904,1969,237,182,0,2944,1786,16285,1
00982,25360,13402,5896,7506,6861,2870,60,83,0,2417,1111,13238,1
00983,26385,32735,14333,18402,15458,7381,234,17,0,7400,2245,32434,1
00985,27560,31388,14098,17290,14050,7144,690,78,0,7067,2359,31227,1
00987,32596,52270,24538,27732,25617,8802,552,53,0,11562,5684,51548,1
01001,66088,16064,7665,8399,14652,451,4,509,0,111,337,881,0
01002,60540,30099,14800,15299,22343,1749,60,3123,205,397,2222,2263,0
01005,80060,5166,2395,2771,4877,103,0,17,24,0,145,181,0
01007,94812,15080,7456,7624,13855,112,0,529,0,170,414,386,0
01008,78988,1116,548,568,1094,0,3,0,0,0,19,54,0
01009,72644,649,319,330,649,0,0,0,0,0,0,0,0
01010,75577,3663,1891,1772,3095,200,0,16,0,0,352,76,0
01011,71921,1486,713,773,1435,4,0,1,0,7,39,42,0
01012,73750,595,291,304,574,0,0,0,9,0,12,19,0
01013,46007,22739,10269,12470,17453,1020,7,534,0,2212,1513,7131,0
01020,58909,30249,15236,15013,26091,1594,12,505,0,738,1309,4531,0
01022,43525,2203,1079,1124,1587,429,0,61,0,25,101,201,0
01026,71000,1030,564,466,1012,0,1,3,0,0,14,16,0
01027,66339,17641,8533,9108,16541,85,0,177,0,56,782,738,0
01028,90579,16215,7489,8726,14715,360,46,531,0,66,497,947,0
01029,92361,572,328,244,562,0,3,0,0,0,7,6,0
01030,79713,12563,6082,6481,11881,201,0,79,0,40,362,576,0
01031,45549,1436,796,640,1298,5,0,0,0,21,112,123,0
01032,81875,482,208,274,478,0,0,0,0,4,0,40,0
01033,101886,6310,3091,3219,6064,19,0,72,0,92,63,257,0
01034,90625,2115,1068,1047,2000,19,7,11,0,4,74,22,0
01035,86690,5328,2418,2910,4653,298,0,113,0,59,205,108,0
01036,94393,5174,2643,2531,4871,10,23,14,0,165,91,279,0
01037,83036,642,308,334,605,2,2,5,0,5,23,29,0
01038,85449,2653,1283,1370,2487,0,27,9,0,84,46,134,0
01039,94256,1368,592,776,1270,22,33,0,0,15,28,76,0
01040,42537,40161,19851,20310,32140,1718,114,318,0,2087,3784,21909,0
01050,73839,2454,1226,1228,2306,28,6,0,0,18,96,57,0
01053,50357,1850,751,1099,1757,61,0,8,0,20,4,24,0
01054,93942,1875,919,956,1719,23,0,89,0,9,35,28,0
01056,73516,21223,10793,10430,19633,368,0,166,0,449,607,2102,0
01057,77156,8778,4481,4297,8438,109,0,113,0,44,74,143,0
01060,67356,16386,6426,9960,13830,373,33,713,8,538,891,1432,0
01062,76959,9693,4615,5078,8847,148,0,132,0,254,312,1089,0
01068,85326,1636,797,839,1598,4,3,4,0,6,21,18,0
01069,66920,8716,4502,4214,7787,333,0,181,0,42,373,683,0
01070,63750,679,306,373,581,1,2,13,0,6,76,22,0
01071,81058,1392,700,692,1296,46,0,2,0,0,48,73,0
01072,81042,1541,699,842,1319,19,0,14,0,12,177,97,0
01073,104052,6169,3359,2810,5755,34,0,50,0,9,321,107,0
01074,88775,396,145,251,369,0,0,0,0,0,27,27,0
01075,73601,17715,6936,10779,15943,309,9,803,0,141,510,1023,0
01077,84896,9722,4846,4876,9221,6,37,155,0,58,245,294,0
01079,32963,515,211,304,515,0,0,0,0,0,0,0,0
01080,78576,2419,1221,1198,2009,64,0,32,0,152,162,182,0
01081,74375,1937,988,949,1873,9,5,0,4,4,42,78,0
01082,58131,10341,4935,5406,9836,183,0,78,0,17,227,732,0
01083,78252,3125,1564,1561,2986,0,0,139,0,0,0,0,0
01084,71875,165,81,84,142,0,0,0,0,23,0,23,0
01085,74784,41758,20185,21573,37592,628,48,1153,55,1296,986,4208,0
01088,42111,588,288,300,583,0,0,0,0,0,5,7,0
01089,54516,28527,14108,14419,24071,763,111,1460,0,835,1287,3257,0
01092,60396,1200,532,668,1171,29,0,0,0,0,0,59,0
01093,97083,295,155,140,295,0,0,0,0,0,0,0,0
01095,111487,14740,6817,7923,13663,518,0,110,0,89,360,963,0
01096,81447,2288,1135,1153,2282,0,0,0,0,0,6,36,0
01097,63750,93,31,62,89,0,0,0,0,0,4,0,0
